user_id,name,age,gender,city,registration_date,reg_day,reg_month,reg_year,gender_label,avg_monthly_spend,purchase_frequency,days_since_last_purchase,spend_beauty,spend_books,spend_clothing,spend_electronics,spend_grocery,spend_home,spend_sports,spend_toys,spending_group,spending_group_encoded
U0001,Vihaan Sharma,35.0,Other,Jaipur,2022-09-08,8,9,2022,2,77.47333333333334,3,438,42.43,0.0,0.0,44.93,145.06,0.0,0.0,0.0,Low,0
U0002,Sai Reddy,30.0,Other,Hyderabad,2023-11-24,24,11,2023,2,129.68,6,553,187.02,0.0,45.02,0.0,0.0,0.0,0.0,157.0,High,2
U0003,Aarohi Gupta,37.0,Other,Indore,2022-02-02,2,2,2022,2,40.597500000000004,4,0,44.45,34.7,0.0,0.0,24.37,58.87,0.0,0.0,Low,0
U0004,Aarav Gupta,44.0,Male,Kolkata,2023-06-02,2,6,2023,1,95.26333333333334,3,577,207.65000000000003,0.0,0.0,0.0,0.0,0.0,0.0,78.14,Medium,1
U0005,Sara Sharma,30.0,Other,Chennai,2024-01-04,4,1,2024,2,57.94833333333333,6,132,103.03,68.07,48.34,0.0,0.0,128.25,0.0,0.0,Medium,1
U0006,Aarohi Mukherjee,30.0,Male,Thane,2023-08-27,27,8,2023,1,71.30499999999999,2,127,0.0,35.87,0.0,0.0,0.0,0.0,106.74,0.0,Low,0
U0007,Ishaan Sharma,44.0,Male,Indore,2022-12-15,15,12,2022,1,84.778,5,13,0.0,0.0,47.02,47.71,141.4,37.04,0.0,150.72000000000003,High,2
U0008,Ishaan Reddy,38.0,Male,Lucknow,2022-04-15,15,4,2022,1,52.05666666666667,3,138,36.89,0.0,0.0,0.0,0.0,0.0,119.28,0.0,Low,0
U0009,Aditya Bose,28.0,Male,Kanpur,2024-05-17,17,5,2024,1,60.51666666666667,3,322,0.0,0.0,142.42,0.0,39.13,0.0,0.0,0.0,Low,0
U0010,Diya Kulkarni,36.0,Female,Delhi,2024-01-18,18,1,2024,0,47.78,4,210,53.81,0.0,0.0,0.0,22.48,40.11,74.72,0.0,Low,0
